platform	dbGapId
dbGaP	phs001195
dbGaP	phs001196
dbGaP	phs001197
dbGaP	phs001198
dbGaP	phs001199
dbGaP	phs001200
dbGaP	phs001201
dbGaP	phs001202
dbGaP	phs001203
dbGaP	phs001204
dbGaP	phs001205
dbGaP	phs001206
dbGaP	phs001208
dbGaP	phs001209
dbGaP	phs001210
dbGaP	phs001213
dbGaP	phs001214
dbGaP	phs001216
dbGaP	phs001219
dbGaP	phs001220
dbGaP	phs001221
dbGaP	phs001223
dbGaP	phs001224
dbGaP	phs001226
dbGaP	phs001229
dbGaP	phs001230
dbGaP	phs001231
dbGaP	phs001232
dbGaP	phs001233
dbGaP	phs001234
dbGaP	phs001235
dbGaP	phs001236
dbGaP	phs001241
dbGaP	phs001242
dbGaP	phs001243
dbGaP	phs001244
dbGaP	phs001245
dbGaP	phs001246
dbGaP	phs001248
dbGaP	phs001249
dbGaP	phs001250
dbGaP	phs001251
dbGaP	phs001253
dbGaP	phs001255
dbGaP	phs001256
dbGaP	phs001257
dbGaP	phs001260
dbGaP	phs001261
dbGaP	phs001262
dbGaP	phs001263
dbGaP	phs001264
dbGaP	phs001265
dbGaP	phs001266
dbGaP	phs001267
dbGaP	phs001268
dbGaP	phs001269
dbGaP	phs001270
dbGaP	phs001271
dbGaP	phs001273
dbGaP	phs001274
dbGaP	phs001275
dbGaP	phs001276
dbGaP	phs001277
dbGaP	phs001278
dbGaP	phs001279
dbGaP	phs001280
dbGaP	phs001281
dbGaP	phs001282
dbGaP	phs001284
dbGaP	phs001285
dbGaP	phs001286
dbGaP	phs001288
dbGaP	phs001289
dbGaP	phs001290
dbGaP	phs001291
dbGaP	phs001292
dbGaP	phs001295
dbGaP	phs001296
dbGaP	phs001297
dbGaP	phs001298
dbGaP	phs001299
dbGaP	phs001301
dbGaP	phs001302
dbGaP	phs001303
dbGaP	phs001304
dbGaP	phs001305
dbGaP	phs001306
dbGaP	phs001307
dbGaP	phs001309
dbGaP	phs001310
dbGaP	phs001311
dbGaP	phs001312
dbGaP	phs001313
dbGaP	phs001314
dbGaP	phs001315
